goal	status	chars	seconds	note
77	FAIL_EMIT	-	38	
91	FAIL_EMIT	-	2	
92	FAIL_EMIT	-	1	
93	FAIL_EMIT	-	1	
94	FAIL_EMIT	-	1	
96	FAIL_EMIT	-	2	
110	FAIL_EMIT	-	1	
114	FAIL_EMIT	-	1	
128	FAIL_EMIT	-	1	
129	FAIL_EMIT	-	1	
132	FAIL_EMIT	-	2	
136	FAIL_EMIT	-	1	
137	FAIL_EMIT	-	1	
143	FAIL_EMIT	-	1	
144	FAIL_EMIT	-	2	
145	FAIL_EMIT	-	1	
146	FAIL_EMIT	-	1	
149	FAIL_EMIT	-	1	
163	FAIL_EMIT	-	2	
164	FAIL_EMIT	-	1	
167	FAIL_EMIT	-	1	
171	FAIL_EMIT	-	1	
172	FAIL_EMIT	-	2	
180	FAIL_EMIT	-	1	
181	FAIL_EMIT	-	1	
184	FAIL_EMIT	-	1	
192	FAIL_EMIT	-	2	
196	FAIL_EMIT	-	1	
197	FAIL_EMIT	-	1	
198	FAIL_EMIT	-	1	
199	FAIL_EMIT	-	2	
200	FAIL_EMIT	-	1	
202	FAIL_EMIT	-	1	
206	FAIL_EMIT	-	1	
207	FAIL_EMIT	-	2	
210	FAIL_EMIT	-	1	
211	FAIL_EMIT	-	1	
213	FAIL_EMIT	-	1	
214	FAIL_EMIT	-	2	
215	FAIL_EMIT	-	1	
216	FAIL_EMIT	-	1	
219	FAIL_EMIT	-	1	
227	FAIL_EMIT	-	1	
231	FAIL_EMIT	-	2	
232	FAIL_EMIT	-	1	
233	FAIL_EMIT	-	1	
234	FAIL_EMIT	-	1	
235	FAIL_EMIT	-	2	
237	FAIL_EMIT	-	1	
241	FAIL_EMIT	-	1	
242	FAIL_EMIT	-	1	
245	FAIL_EMIT	-	2	
246	FAIL_EMIT	-	1	
248	FAIL_EMIT	-	1	
249	FAIL_EMIT	-	1	
250	FAIL_EMIT	-	1	
260	FAIL_EMIT	-	2	
270	FAIL_EMIT	-	1	
274	FAIL_EMIT	-	1	
284	FAIL_EMIT	-	1	
286	FAIL_EMIT	-	2	
287	PASS	22495	127	
288	FAIL_EMIT	-	1	
292	FAIL_EMIT	-	1	
294	FAIL_EMIT	-	2	
295	FAIL_EMIT	-	35	
297	FAIL_EMIT	-	36	
298	FAIL_EMIT	-	1	
299	FAIL_EMIT	-	1	
300	FAIL_EMIT	-	1	
301	FAIL_EMIT	-	2	
302	FAIL_EMIT	-	1	
303	FAIL_EMIT	-	1	
304	FAIL_EMIT	-	1	
305	FAIL_EMIT	-	2	
306	FAIL_EMIT	-	1	
