goal	status	chars	seconds	note
72	PASS	22457	111	
73	PASS	28418	123	
74	PASS	29182	135	
75	FAIL_EMIT	-	1	
76	FAIL_EMIT	-	2	
78	FAIL_EMIT	-	1	
79	FAIL_EMIT	-	1	
80	FAIL_EMIT	-	1	
81	FAIL_EMIT	-	1	
82	FAIL_EMIT	-	2	
83	FAIL_EMIT	-	1	
84	FAIL_EMIT	-	1	
85	FAIL_EMIT	-	1	
86	FAIL_EMIT	-	2	
87	FAIL_EMIT	-	1	
88	FAIL_EMIT	-	1	
89	FAIL_EMIT	-	1	
90	FAIL_EMIT	-	2	
95	FAIL_EMIT	-	1	
97	FAIL_EMIT	-	1	
98	FAIL_EMIT	-	1	
99	FAIL_EMIT	-	1	
100	FAIL_EMIT	-	2	
101	FAIL_EMIT	-	1	
102	FAIL_EMIT	-	1	
103	FAIL_EMIT	-	1	
104	FAIL_EMIT	-	2	
105	FAIL_EMIT	-	1	
106	FAIL_EMIT	-	1	
1	FAIL_EMIT	-	1	
256	FAIL_EMIT	-	2	
