goal	status	chars	seconds	note
78	PASS	31921	135	
79	PASS	30557	136	
80	FAIL_EMIT	-	40	
81	FAIL_EMIT	-	1	
82	FAIL_EMIT	-	1	
83	FAIL_EMIT	-	1	
84	FAIL_EMIT	-	2	
85	FAIL_EMIT	-	1	
86	FAIL_EMIT	-	1	
87	FAIL_EMIT	-	1	
88	FAIL_EMIT	-	2	
89	FAIL_EMIT	-	1	
90	FAIL_EMIT	-	1	
95	FAIL_EMIT	-	1	
97	FAIL_EMIT	-	2	
98	FAIL_EMIT	-	1	
99	FAIL_EMIT	-	1	
100	FAIL_EMIT	-	1	
101	FAIL_EMIT	-	2	
102	FAIL_EMIT	-	1	
103	FAIL_EMIT	-	1	
104	FAIL_EMIT	-	1	
105	FAIL_EMIT	-	2	
106	FAIL_EMIT	-	1	
1	FAIL_EMIT	-	1	
256	FAIL_EMIT	-	2	
254	FAIL_EMIT	-	1	
251	FAIL_EMIT	-	1	
247	FAIL_EMIT	-	1	
239	FAIL_EMIT	-	2	
238	FAIL_EMIT	-	1	
236	FAIL_EMIT	-	1	
226	FAIL_EMIT	-	1	
221	FAIL_EMIT	-	2	
220	FAIL_EMIT	-	1	
229	FAIL_EMIT	-	1	
228	FAIL_EMIT	-	1	
223	FAIL_EMIT	-	2	
222	FAIL_EMIT	-	1	
230	FAIL_EMIT	-	1	
225	FAIL_EMIT	-	2	
212	FAIL_EMIT	-	1	
208	FAIL_EMIT	-	1	
209	FAIL_EMIT	-	1	
217	FAIL_EMIT	-	2	
218	FAIL_EMIT	-	1	
224	FAIL_EMIT	-	1	
240	FAIL_EMIT	-	1	
243	FAIL_EMIT	-	2	
244	FAIL_EMIT	-	1	
252	FAIL_EMIT	-	1	
253	FAIL_EMIT	-	2	
255	FAIL_EMIT	-	1	
296	FAIL_EMIT	-	1	
204	FAIL_EMIT	-	1	
203	FAIL_EMIT	-	2	
201	FAIL_EMIT	-	1	
191	FAIL_EMIT	-	1	
186	FAIL_EMIT	-	1	
185	FAIL_EMIT	-	2	
194	FAIL_EMIT	-	1	
193	FAIL_EMIT	-	1	
188	FAIL_EMIT	-	2	
187	FAIL_EMIT	-	1	
195	FAIL_EMIT	-	1	
190	FAIL_EMIT	-	2	
189	FAIL_EMIT	-	1	
205	FAIL_EMIT	-	1	
290	FAIL_EMIT	-	1	
178	FAIL_EMIT	-	2	
177	FAIL_EMIT	-	1	
175	FAIL_EMIT	-	1	
173	FAIL_EMIT	-	1	
174	FAIL_EMIT	-	2	
176	FAIL_EMIT	-	1	
179	FAIL_EMIT	-	1	
182	FAIL_EMIT	-	2	
183	FAIL_EMIT	-	1	
282	FAIL_EMIT	-	1	
169	FAIL_EMIT	-	1	
168	FAIL_EMIT	-	2	
166	FAIL_EMIT	-	1	
161	FAIL_EMIT	-	1	
160	FAIL_EMIT	-	2	
155	FAIL_EMIT	-	1	
154	FAIL_EMIT	-	1	
165	FAIL_EMIT	-	2	
157	FAIL_EMIT	-	1	
156	FAIL_EMIT	-	1	
151	FAIL_EMIT	-	1	
150	FAIL_EMIT	-	2	
162	FAIL_EMIT	-	1	
159	FAIL_EMIT	-	1	
158	FAIL_EMIT	-	2	
153	FAIL_EMIT	-	1	
152	FAIL_EMIT	-	1	
170	FAIL_EMIT	-	1	
276	FAIL_EMIT	-	2	
278	FAIL_EMIT	-	1	
280	FAIL_EMIT	-	1	
147	FAIL_EMIT	-	2	
148	FAIL_EMIT	-	1	
272	FAIL_EMIT	-	1	
142	FAIL_EMIT	-	1	
140	FAIL_EMIT	-	2	
138	FAIL_EMIT	-	1	
