goal	status	chars	seconds	note
301	PASS	28745	135	
303	FAIL_EMIT	-	1	
305	FAIL_EMIT	-	1	
91	FAIL_EMIT	-	1	
92	FAIL_EMIT	-	1	
93	FAIL_EMIT	-	2	
307	FAIL_EMIT	-	1	
94	FAIL_EMIT	-	1	
96	FAIL_EMIT	-	1	
309	FAIL_EMIT	-	2	
311	FAIL_EMIT	-	1	
250	FAIL_EMIT	-	1	
248	FAIL_EMIT	-	1	
245	FAIL_EMIT	-	1	
246	FAIL_EMIT	-	2	
249	FAIL_EMIT	-	1	
310	FAIL_EMIT	-	1	
312	FAIL_EMIT	-	1	
242	FAIL_EMIT	-	2	
241	FAIL_EMIT	-	1	
237	FAIL_EMIT	-	1	
231	FAIL_EMIT	-	1	
235	FAIL_EMIT	-	1	
234	FAIL_EMIT	-	2	
233	FAIL_EMIT	-	1	
227	FAIL_EMIT	-	1	
232	FAIL_EMIT	-	1	
302	FAIL_EMIT	-	2	
304	FAIL_EMIT	-	1	
306	FAIL_EMIT	-	1	
308	FAIL_EMIT	-	1	
219	FAIL_EMIT	-	2	
300	FAIL_EMIT	-	1	
216	FAIL_EMIT	-	1	
215	FAIL_EMIT	-	1	
213	FAIL_EMIT	-	1	
210	FAIL_EMIT	-	2	
211	FAIL_EMIT	-	1	
214	FAIL_EMIT	-	1	
298	FAIL_EMIT	-	1	
207	FAIL_EMIT	-	2	
206	FAIL_EMIT	-	1	
202	FAIL_EMIT	-	1	
196	FAIL_EMIT	-	1	
200	FAIL_EMIT	-	2	
199	FAIL_EMIT	-	1	
198	FAIL_EMIT	-	1	
192	FAIL_EMIT	-	1	
197	FAIL_EMIT	-	1	
288	FAIL_EMIT	-	2	
292	FAIL_EMIT	-	1	
294	FAIL_EMIT	-	1	
184	FAIL_EMIT	-	1	
286	FAIL_EMIT	-	2	
181	FAIL_EMIT	-	1	
180	FAIL_EMIT	-	1	
284	FAIL_EMIT	-	2	
172	FAIL_EMIT	-	1	
171	FAIL_EMIT	-	1	
167	FAIL_EMIT	-	1	
164	FAIL_EMIT	-	2	
163	FAIL_EMIT	-	1	
149	FAIL_EMIT	-	1	
274	FAIL_EMIT	-	1	
146	FAIL_EMIT	-	2	
145	FAIL_EMIT	-	1	
143	FAIL_EMIT	-	1	
144	FAIL_EMIT	-	2	
270	FAIL_EMIT	-	1	
137	FAIL_EMIT	-	1	
136	FAIL_EMIT	-	3	
132	FAIL_EMIT	-	6	
129	FAIL_EMIT	-	5	
128	FAIL_EMIT	-	4	
114	FAIL_EMIT	-	5	
260	FAIL_EMIT	-	3	
110	FAIL_EMIT	-	5	
