goal	status	secs	note
83	PASS	131	
86	PASS	118	
87	PASS	127	
88	PASS	116	
89	PASS	128	
90	PASS	134	
303	PASS	136	
81	PASS	135	
84	PASS	116	
85	PASS	126	
91	PASS	148	
92	PASS	138	
93	PASS	132	
94	PASS	147	
95	PASS	141	
96	PASS	138	
97	PASS	126	
98	PASS	139	
99	PASS	151	
309	PASS	147	
100	PASS	155	
101	PASS	154	
102	PASS	142	
103	PASS	152	
311	PASS	149	
104	PASS	153	
105	PASS	151	
106	PASS	159	
256	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
254	FAIL_EMIT	4	
251	FAIL_EMIT	4	
250	FAIL_EMIT	4	
248	FAIL_EMIT	5	
247	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
245	FAIL_EMIT	5	
243	FAIL_EMIT	3	
244	FAIL_EMIT	4	
246	FAIL_EMIT	4	
249	FAIL_EMIT	4	
252	FAIL_EMIT	3	
253	FAIL_EMIT	4	
255	FAIL_EMIT	3	
310	FAIL_EMIT	4	
312	FAIL_EMIT	4	
242	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
241	FAIL_EMIT	4	
239	FAIL_EMIT	5	
238	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
237	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
236	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
231	FAIL_EMIT	5	
230	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
225	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
224	FAIL_EMIT	4	
235	FAIL_EMIT	5	
234	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
233	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
227	FAIL_EMIT	4	
226	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
221	FAIL_EMIT	2	    raise UnsupportedTopology(f"unknown op {nd.op}")
220	FAIL_EMIT	4	
232	FAIL_EMIT	5	
229	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
228	FAIL_EMIT	4	    raise UnsupportedTopology(f"unknown op {nd.op}")
223	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
222	FAIL_EMIT	3	
240	FAIL_EMIT	4	
302	FAIL_EMIT	4	
304	FAIL_EMIT	4	
306	FAIL_EMIT	3	
308	FAIL_EMIT	4	
219	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
217	FAIL_EMIT	4	
218	FAIL_EMIT	3	
300	FAIL_EMIT	4	
216	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
215	FAIL_EMIT	4	
213	FAIL_EMIT	5	
212	FAIL_EMIT	5	    raise UnsupportedTopology(f"unknown op {nd.op}")
210	FAIL_EMIT	5	
208	FAIL_EMIT	3	
209	FAIL_EMIT	4	
211	FAIL_EMIT	4	
214	FAIL_EMIT	4	
296	FAIL_EMIT	4	
298	FAIL_EMIT	4	
207	FAIL_EMIT	3	    raise UnsupportedTopology(f"unknown op {nd.op}")
206	FAIL_EMIT	5	
